"id","equity","numeroValore","ticker"
14,"Daiwa House Ind.","761745JP","1925.T"
49,"Furukawa Elec.","761866JP","5801.T"
127,"IBJ","762087JP","null35"
91,"Ito Yokado","762117JP","8264.T"
72,"Kyocera Common Stock","762445JP","6971.T"
56,"Mitsubishi Elec Common Stock","762570JP","6503.T"
38,"Sankyo Common Stock","763227JP","4501.T"
62,"Sony Corp","763300JP","6758.T"
888,"Sony Corp","763304CH","SON.S"
39,"Takeda Chem Inds Common Stock","763546JP","4502.T"
63,"TDK Corp Common Stock","763593JP","6762.T"
55,"Toshiba Corp Common Stock","763734JP","6502.T"
40,"Yamanouchi Pharm Common Stock","764030JP","4503.T"
120,"NTT","764057JP","9432.T"
1643,"Global Water Tech","789356","bigmac23"
1575,"Cendant Corp","793305","palace18"
1057,"Rentenanstalt N","802678CH","Ran.S"
503,"GOLD Fields LTD","803185SA","GFIJ.J"
1512,"Geberit SA","803822CH","GEBN.S"
136,"Aerospatiale-Matra","804612EU","null12"
1043,"Exxon Mobil Corp Common Stock","808963","XOM"
413,"DRAGADOS SA","811569EU","DRC.MAC"
1587,"Libertel NV","811847","palace29"
1644,"Opengate Spa Malnate (VA)","813238","bigmac24"
984,"Unaxis Common Stock","816820CH","OERL.S"
1751,"OERLIKON","81682CH","OERL.S"
1536,"Banco Santander Central","817651EU","SAN.MAC"
141,"Absolute Invest SA","817755CH","ABSZ.S"
1668,"FOCUS ASIA FUND - USD CLASS","822125","battle2"
490,"Gas Natural","822398EU","GAS.MAC"
930,"Telefonica SA Common Stock","826858EU","TEF.MAC"
583,"JDS Uniphase","827665US","JDSUD"
880,"Siemens N chf","827766CH","SIN.S"
879,"Siemens N eur","827766EU","SIE.XE"
869,"Sogecable","829135EU","SGC.MAC"
386,"Deutsche Bank N","829257CH","DBKGn.S"
385,"Deutsche Bank AG Namen","829257EU","DBK.XE"
1632,"MP3.com Inc","829550","bigmac12"
54,"Gold Fields","832382SA","null36"
1592,"Reuters Group Plc","832614","palace34"
1569,"IDS Intelligent Detection SYS","838094","palace12"
1585,"Gtr Group Inc.","841098","palace27"
720,"Numico","841757EU","NUM.AS"
1332,"Genentech Inc.","843475US","DNA"
283,"BP Amoco Common Stock","844183","BP..L"
1565,"UBS SA OLD","847092","palace8"
1015,"Verisign Inc Common Stock","847364","VRSN"
1564,"Units Gottardo SHS Basket Japan 10.2.99","848102","palace7"
485,"Free State Gold","848328SA","FSG.BRU"
1588,"USA Networks Inc.","854018","palace30"
223,"Avgold","855617SA","AVGJ.J"
203,"Anglogold","856790SA","ANGJ.J"
165,"Aegon","870611EU","AGN.AS"
1010,"Vontobel I","87255CH","VONN.S"
468,"Fiat spa","872949EU","F.MI"
1798,"Fiat Priv","872968","FP.MI"
1799,"Fiat Risp","872988","FR.MI"
848,"Saia-Burgess N","873861CH","SBEN.S"
234,"BAE Sysytems Common Stock","874077","BA..L"
856,"Swisscom N","874251CH","SCMN.S"
919,"SAIR Group","881506CH","SWSZn.S"
187,"Altadis SA","882371EU","ALT.MAC"
361,"Banca Carige SpA","894838EU","CRG.MI"
162,"Adval Tech N","896792CH","ADVN.S"
504,"Gretag Imaging N","898438CH","GIGNn.S"
1596,"Cert US Stocks Benchmark 28.03.03","9000020414","palace38"
132,"Agilent Tech","901692US","A"
142,"Abbott Labs Common Stock","903037US","ABT"
1639,"ACTV Inc.","903315","bigmac19"
167,"The AES Corp Common Stock","903613US","AES.N"
74,"Air Express int.","903801US","null14"
206,"America On Line","906606US","TWX"
197,"Amgen Inc Common Stock","907582","AMGN"
137,"Apple Computer Common Stock","908440US","AAPL"
243,"Brit Am Tobacco Common Stock","909525GB","BATS.L"
262,"Baker Hughes","910918US","BHI"
