Name,BOFA ML EMU CORP. (E) - RED. YIELD,BOFA ML US CORP BBB-A ($) - RED. YIELD,ITRAXX CROSSOVER 5YR (EOD) SR15 - CDS PREM. BID,BOFA ML EUROPEAN CUR HY (E) - RED. YIELD,BOFA ML US HY MASTER II ($) - RED. YIELD,JPM EMBI+ COMPOSITE - BLENDED YIELD MAT
2/19/2003,4.03,5.11,,11.964,11.64,10.433
2/26/2003,4.04,5.02,,12,11.47,10.236
3/5/2003,4.01,4.9,,11.994,11.28,10.091
3/12/2003,4.04,4.93,,12.608,11.26,9.967
3/19/2003,4.4,5.19,,12.351,11.18,10.201
3/26/2003,4.3,5.1,,11.908,11.05,10.077
4/2/2003,4.21,5.03,,11.384,10.66,9.804
4/9/2003,4.25,4.97,,11.034,10.54,9.748
4/16/2003,4.23,4.95,,10.757,10.35,9.562
4/23/2003,4.15,4.9,,10.646,10.08,9.449
4/30/2003,4.05,4.73,,9.639,9.71,9.247
5/7/2003,3.9,4.51,,9.286,9.55,8.994
5/14/2003,3.82,4.42,,9.472,9.56,8.732
5/21/2003,3.7,4.35,,9.561,9.63,8.827
5/28/2003,3.7,4.31,,9.384,9.68,8.709
6/4/2003,3.58,4.19,,9.127,9.43,8.424
6/11/2003,3.38,4.07,,8.604,9.21,8.258
6/18/2003,3.52,4.16,,8.231,8.94,8.226
6/25/2003,3.48,4.16,,8.434,9.02,8.415
7/2/2003,3.72,4.3,,8.68,9.18,8.681
7/9/2003,3.74,4.4,,8.744,9.11,8.963
7/16/2003,3.81,4.55,,8.729,9.08,9.12
7/23/2003,3.81,4.63,,8.696,9.16,8.953
7/30/2003,3.87,4.82,,8.768,9.42,9.272
8/6/2003,4.1,4.95,,8.983,9.66,9.681
8/13/2003,4.07,5.1,,8.977,9.75,9.476
8/20/2003,4.09,4.99,,8.825,9.51,9.181
8/27/2003,4.1,5.09,,8.639,9.32,9.108
9/3/2003,4.22,5.11,,8.255,9.16,9.178
9/10/2003,4.07,4.78,,8.259,9.04,8.812
9/17/2003,3.97,4.67,,8.182,8.96,8.728
9/24/2003,3.89,4.63,,8.147,8.89,8.703
10/1/2003,3.79,4.46,,8.177,8.82,8.697
10/8/2003,4.01,4.69,,8.094,8.75,8.571
10/15/2003,4.1,4.79,,7.937,8.59,8.561
10/22/2003,4.09,4.71,,7.876,8.54,8.715
10/29/2003,4.1,4.68,,7.861,8.52,8.741
11/5/2003,4.17,4.82,,7.804,8.5,8.658
11/12/2003,4.26,4.85,,7.676,8.51,8.654
11/19/2003,4.08,4.65,,7.688,8.39,8.614
11/26/2003,4.15,4.66,,7.761,8.32,8.548
12/3/2003,4.2,4.81,,7.765,8.26,8.511
12/10/2003,4.13,4.68,,7.602,8.13,8.361
12/17/2003,4.04,4.55,,7.726,8.06,8.23
12/24/2003,4.05,4.54,,7.744,7.98,8.225
12/31/2003,4.05,4.58,,8.033,8.02,8.184
1/7/2004,3.96,4.55,,7.671,7.77,7.938
1/14/2004,3.88,4.31,,7.423,7.64,7.838
1/21/2004,3.87,4.34,,7.375,7.55,7.856
1/28/2004,3.86,4.48,,7.576,7.63,8.008
2/4/2004,3.94,4.46,,7.719,7.89,8.252
2/11/2004,3.87,4.37,,7.549,7.89,8.162
2/18/2004,3.77,4.35,,7.416,7.8,8.235
2/25/2004,3.77,4.33,,7.442,7.87,8.309
3/3/2004,3.85,4.41,,7.349,7.85,8.18
3/10/2004,3.66,4.13,,7.177,7.73,7.933
3/17/2004,3.62,4.1,,7.179,7.79,7.916
3/24/2004,3.57,4.12,,7.242,7.85,7.931
3/31/2004,3.63,4.24,,7.146,7.85,7.948
4/7/2004,3.76,4.51,,7.1,7.87,8.125
4/14/2004,3.86,4.71,,7.108,7.94,8.328
4/21/2004,3.86,4.76,,7.084,7.93,8.675
4/28/2004,3.87,4.81,,7.049,7.91,8.978
5/5/2004,3.85,4.93,,7.194,8.17,9.167
5/12/2004,4.03,5.19,,7.576,8.65,9.847
5/19/2004,4.05,5.18,,7.663,8.63,9.481
5/26/2004,4,5.07,,7.561,8.51,9.423
6/2/2004,4.08,5.18,,7.685,8.55,9.43
6/9/2004,4.09,5.26,,7.532,8.48,9.385
6/16/2004,4.11,5.21,,7.485,8.41,9.38
6/23/2004,4.09,5.16,,7.397,8.31,9.224
6/30/2004,4.07,5.14,,7.585,8.39,9.264
7/7/2004,3.97,5,,7.559,8.27,9.07
7/14/2004,3.98,5.01,,7.537,8.16,8.962
