"","Ticker","Close","TRADE_DATE"
"663","2742261CH",75.42,"2009-09-08 00:00:00.000"
"664","2742261CH",75.38,"2009-09-09 00:00:00.000"
"665","2742261CH",75.62,"2009-09-10 00:00:00.000"
"666","2742261CH",75.7,"2009-09-11 00:00:00.000"
"667","2742261CH",75.8,"2009-09-14 00:00:00.000"
"668","2742261CH",75.85,"2009-09-15 00:00:00.000"
"669","2742261CH",75.93,"2009-09-16 00:00:00.000"
"670","2742261CH",76.42,"2009-09-17 00:00:00.000"
"671","2742261CH",76.5,"2009-09-18 00:00:00.000"
"672","2742261CH",76.53,"2009-09-21 00:00:00.000"
"673","2742261CH",76.39,"2009-09-22 00:00:00.000"
"674","2742261CH",76.55,"2009-09-23 00:00:00.000"
"675","2742261CH",76.53,"2009-09-24 00:00:00.000"
"676","2742261CH",75.91,"2009-09-25 00:00:00.000"
"677","2742261CH",75.74,"2009-09-28 00:00:00.000"
"678","2742261CH",76.19,"2009-09-29 00:00:00.000"
"679","2742261CH",76.32,"2009-09-30 00:00:00.000"
"680","2742261CH",76.31,"2009-10-01 00:00:00.000"
"681","2742261CH",75.77,"2009-10-02 00:00:00.000"
"682","2742261CH",74.87,"2009-10-05 00:00:00.000"
"683","2742261CH",75.06,"2009-10-06 00:00:00.000"
"684","2742261CH",75.76,"2009-10-07 00:00:00.000"
"685","2742261CH",75.91,"2009-10-08 00:00:00.000"
"686","2742261CH",76.47,"2009-10-09 00:00:00.000"
"687","2742261CH",76.33,"2009-10-12 00:00:00.000"
"688","2742261CH",76.78,"2009-10-13 00:00:00.000"
"689","2742261CH",76.54,"2009-10-14 00:00:00.000"
"690","2742261CH",77.01,"2009-10-15 00:00:00.000"
"691","2742261CH",76.63,"2009-10-16 00:00:00.000"
"692","2742261CH",76.42,"2009-10-19 00:00:00.000"
"693","2742261CH",76.81,"2009-10-20 00:00:00.000"
"694","2742261CH",76.62,"2009-10-21 00:00:00.000"
"695","2742261CH",76.34,"2009-10-23 00:00:00.000"
"696","2742261CH",76.25,"2009-10-26 00:00:00.000"
"697","2742261CH",76,"2009-10-28 00:00:00.000"
"698","2742261CH",75.2,"2009-10-29 00:00:00.000"
"699","2742261CH",75.78,"2009-10-30 00:00:00.000"
"700","2742261CH",75.17,"2009-11-02 00:00:00.000"
"701","2742261CH",75.1,"2009-11-03 00:00:00.000"
"702","2742261CH",74.83,"2009-11-04 00:00:00.000"
"703","2742261CH",75.28,"2009-11-05 00:00:00.000"
"704","2742261CH",75.39,"2009-11-06 00:00:00.000"
"705","2742261CH",75.46,"2009-11-09 00:00:00.000"
"706","2742261CH",76.14,"2009-11-10 00:00:00.000"
"707","2742261CH",76.04,"2009-11-11 00:00:00.000"
"708","2742261CH",76.28,"2009-11-12 00:00:00.000"
"709","2742261CH",76.17,"2009-11-16 00:00:00.000"
"710","2742261CH",76.64,"2009-11-18 00:00:00.000"
"711","2742261CH",76.59,"2009-11-19 00:00:00.000"
"712","2742261CH",76.1,"2009-11-20 00:00:00.000"
"713","2742261CH",75.81,"2009-11-23 00:00:00.000"
"714","2742261CH",76.55,"2009-11-24 00:00:00.000"
"715","2742261CH",76.43,"2009-11-25 00:00:00.000"
"716","2742261CH",75.52,"2009-11-27 00:00:00.000"
"717","2742261CH",75.71,"2009-11-30 00:00:00.000"
"718","2742261CH",75.71,"2009-12-01 00:00:00.000"
"719","2742261CH",76.17,"2009-12-02 00:00:00.000"
"720","2742261CH",76.31,"2009-12-03 00:00:00.000"
"721","2742261CH",76.57,"2009-12-04 00:00:00.000"
"722","2742261CH",76.57,"2009-12-08 00:00:00.000"
"723","2742261CH",76.58,"2009-12-09 00:00:00.000"
"724","2742261CH",76.32,"2009-12-10 00:00:00.000"
"725","2742261CH",76.73,"2009-12-11 00:00:00.000"
"726","2742261CH",76.98,"2009-12-14 00:00:00.000"
"727","2742261CH",77.17,"2009-12-15 00:00:00.000"
"728","2742261CH",77.33,"2009-12-16 00:00:00.000"
"729","2742261CH",77.81,"2009-12-17 00:00:00.000"
"730","2742261CH",77.35,"2009-12-18 00:00:00.000"
"731","2742261CH",77.36,"2009-12-22 00:00:00.000"
"732","2742261CH",77.9,"2009-12-25 00:00:00.000"
"733","2742261CH",77.9,"2009-12-28 00:00:00.000"
"734","2742261CH",77.87,"2009-12-29 00:00:00.000"
"735","2742261CH",77.7,"2010-01-04 00:00:00.000"
"736","2742261CH",78.4,"2010-01-06 00:00:00.000"
"737","2742261CH",78.24,"2010-01-07 00:00:00.000"
"738","2742261CH",78.09,"2010-01-08 00:00:00.000"
"739","2742261CH",78.36,"2010-01-11 00:00:00.000"
"740","2742261CH",78.29,"2010-01-12 00:00:00.000"
"741","2742261CH",77.97,"2010-01-13 00:00:00.000"
"742","2742261CH",78,"2010-01-14 00:00:00.000"
"743","2742261CH",78.44,"2010-01-15 00:00:00.000"
"744","2742261CH",78.02,"2010-01-18 00:00:00.000"
"745","2742261CH",77.97,"2010-01-21 00:00:00.000"
"746","2742261CH",77.97,"2010-01-22 00:00:00.000"
"747","2742261CH",76.98,"2010-01-25 00:00:00.000"
"748","2742261CH",76.77,"2010-01-26 00:00:00.000"
"749","2742261CH",76.99,"2010-01-27 00:00:00.000"
"750","2742261CH",76.69,"2010-01-28 00:00:00.000"
"751","2742261CH",76.41,"2010-01-29 00:00:00.000"
"752","2742261CH",76.35,"2010-02-01 00:00:00.000"
"753","2742261CH",76.85,"2010-02-02 00:00:00.000"
"754","2742261CH",77.34,"2010-02-03 00:00:00.000"
"755","2742261CH",75.77,"2010-02-05 00:00:00.000"
"756","2742261CH",75.17,"2010-02-08 00:00:00.000"
"757","2742261CH",75.39,"2010-02-09 00:00:00.000"
"758","2742261CH",75.39,"2010-02-10 00:00:00.000"
"759","2742261CH",75.56,"2010-02-11 00:00:00.000"
"760","2742261CH",75.84,"2010-02-12 00:00:00.000"
"761","2742261CH",75.85,"2010-02-15 00:00:00.000"
"762","2742261CH",75.95,"2010-02-16 00:00:00.000"
"763","2742261CH",76.38,"2010-02-17 00:00:00.000"
"764","2742261CH",76.96,"2010-02-18 00:00:00.000"
"765","2742261CH",77.27,"2010-02-19 00:00:00.000"
"766","2742261CH",77.31,"2010-02-23 00:00:00.000"
"767","2742261CH",76.87,"2010-02-24 00:00:00.000"
"768","2742261CH",76.94,"2010-02-25 00:00:00.000"
"769","2742261CH",76.57,"2010-02-26 00:00:00.000"
"770","2742261CH",76.9,"2010-03-01 00:00:00.000"
"771","2742261CH",77.45,"2010-03-02 00:00:00.000"
"772","2742261CH",77.78,"2010-03-03 00:00:00.000"
"773","2742261CH",77.98,"2010-03-04 00:00:00.000"
"774","2742261CH",77.97,"2010-03-05 00:00:00.000"
"775","2742261CH",78.61,"2010-03-08 00:00:00.000"
"776","2742261CH",78.67,"2010-03-09 00:00:00.000"
"777","2742261CH",78.84,"2010-03-10 00:00:00.000"
"778","2742261CH",78.89,"2010-03-12 00:00:00.000"
"779","2742261CH",78.78,"2010-03-15 00:00:00.000"
"780","2742261CH",78.44,"2010-03-16 00:00:00.000"
"781","2742261CH",78.74,"2010-03-17 00:00:00.000"
"782","2742261CH",78.9,"2010-03-19 00:00:00.000"
"783","2742261CH",78.62,"2010-03-22 00:00:00.000"
"784","2742261CH",78.35,"2010-03-23 00:00:00.000"
"785","2742261CH",78.46,"2010-03-24 00:00:00.000"
"786","2742261CH",78.44,"2010-03-25 00:00:00.000"
"787","2742261CH",78.83,"2010-03-26 00:00:00.000"
"788","2742261CH",78.61,"2010-03-29 00:00:00.000"
"789","2742261CH",78.85,"2010-03-30 00:00:00.000"
"790","2742261CH",78.96,"2010-03-31 00:00:00.000"
"791","2742261CH",79.33,"2010-04-09 00:00:00.000"
"792","2742261CH",79.99,"2010-04-12 00:00:00.000"
"793","2742261CH",80.02,"2010-04-13 00:00:00.000"
"794","2742261CH",79.8,"2010-04-14 00:00:00.000"
"795","2742261CH",80.05,"2010-04-15 00:00:00.000"
"796","2742261CH",80.05,"2010-04-16 00:00:00.000"
"797","2742261CH",79.66,"2010-04-19 00:00:00.000"
