"Data","Link","UK INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","SWITZERLAND IBK. 1 MTH (LDN:BBA) - OFFERED RATE","EURO INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","JAPAN INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","CANADA INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","AUSTRALIA INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE"
1996-04-01,1996-04-30,-0.00051834958655948,0.00305073784765431,,0.00403935581023800,0.00036300464526001,-0.00174835821964294
1996-05-01,1996-05-31,-0.00051834958655948,0.00295973422697127,,0.00406213676122085,0.00051861841220519,-0.00176129345158704
1996-06-01,1996-06-30,-0.00052157970937595,0.00230661589407393,,0.00413037219510764,0.00059317535440959,-0.00173861314675051
1996-07-01,1996-07-31,-0.00028511443531523,0.00246574044170016,,0.00412705650758610,0.00066126406639325,-0.00172240376346017
1996-08-01,1996-08-31,-0.00030779836282769,0.00254704772758429,,0.00409465904863303,0.00074235218884013,-0.00134390683245410
1996-09-01,1996-09-30,-0.00031104199317635,0.00275174753736952,,0.00411744623866880,0.00117375645221835,-0.00119180261276354
1996-10-01,1996-10-31,-0.00039850745400277,0.00335958377772504,,0.00411420259779880,0.00120295456646140,-0.00115620966314891
1996-11-01,1996-11-30,-0.00067383700878040,0.00303139913540507,,0.00405258516924049,0.00175150291245707,-0.00119932200663101
1996-12-01,1996-12-31,-0.00046647835608898,0.00281319798060843,,0.00423090042671075,0.00212782600978012,-0.00082914447409647
1997-01-01,1997-01-31,-0.00062195503196982,0.00306358471041996,,0.00417580734837125,0.00203701316227034,-0.00046650253534891
1997-02-01,1997-02-28,-0.00064142021174294,0.00311575263745987,,0.00411744623866880,0.00197218249516116,-0.00037583437915081
1997-03-01,1997-03-31,-0.00057016977053267,0.00306374379594514,,0.00407840442701173,0.00196569075042652,-0.00051834958655948
1997-04-01,1997-04-30,-0.00038870677746194,0.00316710630506402,,0.00424672788833067,0.00202371446488918,-0.00046643000508759
1997-05-01,1997-05-31,-0.00051824213431888,0.00329711995668025,,0.00425974670097735,0.00207565846926411,-0.00036279769243986
1997-06-01,1997-06-30,-0.00065747496727201,0.00399622996430952,,0.00424672788833067,0.00212760517195889,0.00010368066364895
1997-07-01,1997-07-31,-0.00082905854792756,0.00349867660903568,,0.00424022271019853,0.00191334449105443,0.00024625498262052
1997-08-01,1997-08-31,-0.00111718597967021,0.00340131966647958,,0.00420790771286277,0.00177710533289142,0.00046667186037882
1997-09-01,1997-09-30,-0.00128866621552528,0.00366459815352395,,0.00422732228000793,0.00184197948073268,0.00059632613027316
1997-10-01,1997-10-31,-0.00126924937063972,0.00354753490559415,,0.00424358968116634,0.00173811574985417,0.00064819738582842
1997-11-01,1997-11-30,-0.00132749049105664,0.00327120079853319,,0.00426311424374137,0.00153042064551967,0.00059632613027316
1997-12-01,1997-12-31,-0.00132067917633202,0.00348810690306392,,0.00444743628894751,0.00154949037447882,0.00081658166013262
1998-01-01,1998-01-31,-0.00151182968041881,0.00371318084996779,,0.00413275689298506,0.00101131907954413,0.00064816377478233
1998-02-01,1998-02-28,-0.00156047985557554,0.00370699213669286,,0.00408105173365539,0.00061579956702005,0.00047964533399029
1998-03-01,1998-03-31,-0.00150540584691786,0.00400600254786004,,0.00397997994069169,0.00072274752200002,0.00056713375505470
1998-04-01,1998-04-30,-0.00153451018152717,0.00351493173991562,,0.00413936871061113,0.00077786712766583,0.00051851084849352
1998-05-01,1998-05-31,-0.00145690766128104,0.00346300283458720,,0.00420779841623612,0.00064819738582842,0.00054445756520541
1998-06-01,1998-06-30,-0.00147955912041883,0.00329720555740551,,0.00425985734695729,0.00063522516993699,0.00054445756520541
1998-07-01,1998-07-31,-0.00162835330587576,0.00296243946977806,,0.00421104145807307,0.00065144042766556,0.00039211105197402
1998-08-01,1998-08-31,-0.00163159634771285,0.00314118714691673,,0.00420454169960478,0.00049259169034626,0.00046665976165758
1998-09-01,1998-09-30,-0.00165751617768020,0.00339806549091131,,0.00414608860230725,-0.00020733983072411,0.00046667186037882
1998-10-01,1998-10-31,-0.00170962352222422,0.00342478560857555,,0.00412091736638912,-0.00005184973946689,0.00040192251052467
1998-11-01,1998-11-30,-0.00170825178482487,0.00346703621094395,,0.00407709075799509,-0.00001244547327037,0.00032986149228464
1998-12-01,1998-12-31,-0.00110151798393806,0.00319041771694862,,0.00431619389141644,0.00043737067627490,0.00056936860503016
1999-01-01,1999-01-31,-0.00106084955312385,0.00317004605293954,0.00146900872606501,0.00384313829353420,0.00004071235738380,0.00023574969520291
1999-02-01,1999-02-28,-0.00088061980429700,0.00312303088609562,0.00150665533149290,0.00377559326873828,-0.00007909634845180,0.00012112555618204
1999-03-01,1999-03-31,-0.00053151731553471,0.00307812474212283,0.00152973667054203,0.00389929879210273,-0.00006500392471897,0.00012968022431055
1999-04-01,1999-04-30,-0.00033216952604539,0.00311392565932785,0.00164433265669025,0.00396344343212816,0.00007538434451822,0.00010425980490449
1999-05-01,1999-05-31,-0.00037819974437179,0.00327602328815003,0.00193974643416628,0.00397814057469049,0.00009596257596368,0.00006121014534128
1999-06-01,1999-06-30,-0.00036147058554885,0.00327730486391565,0.00196976705833861,0.00403737715943174,0.00015977142345724,0.00005602083976686
1999-07-01,1999-07-31,0.00004849181977804,0.00335444481346264,0.00211888808380455,0.00423211777683105,0.00040397944656983,0.00025388622443616
1999-08-01,1999-08-31,-0.00005743268228681,0.00345003796269304,0.00213313534245936,0.00425833978118265,0.00035062495626311,0.00033557667891121
1999-09-01,1999-09-30,0.00024269251910527,0.00368058439926198,0.00230120012294820,0.00440458380653717,0.00049910617748541,0.00043615856904796
1999-10-01,1999-10-31,-0.00005444511808794,0.00342900632610265,0.00228400435246981,0.00442531942570645,0.00059610367987342,0.00042733491986922
1999-11-01,1999-11-30,-0.00002592450680065,0.00350911451186459,0.00208736398879316,0.00443258760651027,0.00057050925201865,0.00032981838507504
1999-12-01,1999-12-31,0.00047903736998335,0.00368587956834102,0.00246318222422866,0.00486686183531392,0.00080051676749766,0.00090904903878065
2000-01-01,2000-01-31,0.00034784655552606,0.00352176331869516,0.00220735177943223,0.00471742119578162,0.00068233693706384,0.00042043871229640
2000-02-01,2000-02-29,-0.00017192247922295,0.00317138406072103,0.00215422949263725,0.00483793478087435,0.00067468366171743,0.00048885614564216
2000-03-01,2000-03-31,-0.00018267276153460,0.00314603117848965,0.00206329795802199,0.00481910115933612,0.00069316813199467,0.00030945319795970
2000-04-01,2000-04-30,0.00006166185721476,0.00288769900445622,0.00202504610512313,0.00501720290201185,0.00067386844491596,0.00031614326217364
2000-05-01,2000-05-31,0.00008652513676052,0.00264901092020822,0.00195915666272533,0.00515818235882428,0.00068432261871896,0.00023317983297028
2000-06-01,2000-06-30,0.00045655329454496,0.00322135155012234,0.00196446546283528,0.00546902128975198,0.00065491280187590,0.00050098631820520
2000-07-01,2000-07-31,0.00048000976956435,0.00282726251777144,0.00184099113827182,0.00538788082694095,0.00067012602908607,0.00043311439974212
2000-08-01,2000-08-31,0.00044659441421631,0.00283388059108633,0.00183220215634995,0.00540618785456923,0.00068638287910208,0.00040928422977520
2000-09-01,2000-09-30,0.00046964988430210,0.00284702777688474,0.00163086929943325,0.00517443812084134,0.00069536023445044,0.00026420065727233
2000-10-01,2000-10-31,0.00045410683690534,0.00279128988266892,0.00152504719517388,0.00519946787925656,0.00069640195154055,0.00015229649151776
2000-11-01,2000-11-30,0.00046732338021730,0.00282176597284672,0.00138031770063721,0.00522341926419456,0.00067152210048668,0.00028336878216049
2000-12-01,2000-12-31,0.00065484969291998,0.00277188487835274,0.00146830578837018,0.00504053005111573,0.00080861087482520,0.00044031846614439
2001-01-01,2001-01-31,0.00058680625950814,0.00265118458079561,0.00141462083854515,0.00498833923298140,0.00067259150790167,0.00029348858901821
2001-02-01,2001-02-28,-0.00029325637568696,0.00175452444233520,0.00065239930187045,0.00427373502390872,0.00005253298340312,-0.00023378931867142
2001-03-01,2001-03-31,-0.00036589401230486,0.00154230843315014,0.00040558546713637,0.00411638470853704,0.00008643088861650,-0.00024057655531573
2001-04-01,2001-04-30,-0.00050296204215475,0.00141136951061127,0.00027907155461605,0.00409636209138682,0.00012828439777232,-0.00002593206318236
2001-05-01,2001-05-31,-0.00082590689126815,0.00104321758659338,-0.00033257437345550,0.00362340521000232,-0.00022622204101025,-0.00033075669270300
2001-06-01,2001-06-30,-0.00100133710206000,0.00063383623932713,-0.00043801379094374,0.00330164919483251,-0.00043490062583561,-0.00076640242405529
2001-07-01,2001-07-31,-0.00113204054129303,0.00047635652450002,-0.00054674134419082,0.00315004781712477,-0.00053839772561797,-0.00091305304499385
2001-08-01,2001-08-31,-0.00125156332009223,0.00040022462868071,-0.00063427967007527,0.00305504654058318,-0.00039867772417958,-0.00103996613396025
2001-09-01,2001-09-30,-0.00109197853051597,0.00023993830273064,-0.00061153032432971,0.00292472986779175,-0.00038039298279770,-0.00101676575102084
2001-10-01,2001-10-31,-0.00172388768884616,0.00032226039958494,-0.00090406159593961,0.00214810590460993,-0.00065875128495710,-0.00146394127094602
2001-11-01,2001-11-30,-0.00162060446603860,0.00012061145865072,-0.00111839821417662,0.00185392326318909,-0.00038530188040394,-0.00171064965493377
2001-12-01,2001-12-31,-0.00163978263341257,0.00003292608420517,-0.00109144572921694,0.00168335556070786,-0.00017918607481166,-0.00178173997896491
2002-01-01,2002-01-31,-0.00189030781349372,0.00007107488256916,-0.00121091627097597,0.00150503371540059,-0.00022150455760780,-0.00197309322637267
2002-02-01,2002-02-28,-0.00181338319908268,0.00021635475607178,-0.00124001597870759,0.00149984285493703,-0.00018719230319915,-0.00198660974438821
2002-03-01,2002-03-31,-0.00180908258426056,0.00013452442820421,-0.00122359317140448,0.00146441635571090,-0.00017748264735248,-0.00197828934234628
2002-04-01,2002-04-30,-0.00178000056349970,0.00030685839142211,-0.00123168661511126,0.00149461145554832,-0.00024091042459987,-0.00209893111201403
2002-05-01,2002-05-31,-0.00173905144090885,0.00032455509191452,-0.00123931360800806,0.00147799377837093,-0.00040762509039280,-0.00213117282082734
2002-06-01,2002-06-30,-0.00185480132251220,0.00055798189948303,-0.00128231433047350,0.00148840528747639,-0.00061380154861934,-0.00241524055547242
2002-07-01,2002-07-31,-0.00177785041191234,0.00056908181176341,-0.00128772109589385,0.00148632824209597,-0.00071080776429581,-0.00258928887630661
2002-08-01,2002-08-31,-0.00175064053876185,0.00088239217233086,-0.00127330886727955,0.00146448951981447,-0.00080679039055770,-0.00251465456072957
2002-09-01,2002-09-30,-0.00183213101010318,0.00093651867499267,-0.00125720143638845,0.00146864378797310,-0.00095919268740401,-0.00249777659426241
2002-10-01,2002-10-31,-0.00177856756069547,0.00090807757054464,-0.00125774020444965,0.00145200524500852,-0.00084629025319321,-0.00248718249995008
2002-11-01,2002-11-30,-0.00185685746894291,0.00085193849412383,-0.00132449756245447,0.00136255189850948,-0.00092881815492778,-0.00258727664567045
2002-12-01,2002-12-31,-0.00215252085682490,0.00059946050351456,-0.00141168289092273,0.00115032344056880,-0.00112856621889446,-0.00277224745618185
2003-01-01,2003-01-31,-0.00222413085592815,0.00064390867474701,-0.00126161040059960,0.00110767345788628,-0.00116464807520909,-0.00282633891798095
2003-02-01,2003-02-28,-0.00222888083917855,0.00061616861654553,-0.00123972101465348,0.00107593612918099,-0.00121180313618020,-0.00285315198563239
2003-03-01,2003-03-31,-0.00198435759839638,0.00061686122188066,-0.00109204399728889,0.00106500551157849,-0.00133719747120442,-0.00281373052482155
2003-04-01,2003-04-30,-0.00199999650866728,0.00084527514989807,-0.00105382728094317,0.00104263942222224,-0.00152219058433997,-0.00286362254586175
2003-05-01,2003-05-31,-0.00188729048044889,0.00087807404719660,-0.00104777763948201,0.00104992658148122,-0.00167367222624088,-0.00284127655858285
2003-06-01,2003-06-30,-0.00197166734557977,0.00089247518610766,-0.00085775475484829,0.00105877126847402,-0.00163851971067724,-0.00282829772801228
2003-07-01,2003-07-31,-0.00213089540600808,0.00071902925349504,-0.00085768955881645,0.00089435712464486,-0.00178839587008733,-0.00292008633132103
2003-08-01,2003-08-31,-0.00192884033614135,0.00072250802951047,-0.00083949391876107,0.00088967120753287,-0.00161178823764738,-0.00300726479499877
2003-09-01,2003-09-30,-0.00210480013759844,0.00073152665851317,-0.00084073646471646,0.00089487377153249,-0.00144759965045818,-0.00304874800111200
2003-10-01,2003-10-31,-0.00210311360048514,0.00076763670500847,-0.00081588859893446,0.00089560707725062,-0.00134090656391123,-0.00307364834785055
2003-11-01,2003-11-30,-0.00220799750396576,0.00076763670500847,-0.00081027341149795,0.00089539875170790,-0.00139771728968183,-0.00313382162616088
2003-12-01,2003-12-31,-0.00221102076093244,0.00077107069445762,-0.00081918201574450,0.00093390082140033,-0.00135332179814943,-0.00341789750973770
2004-01-01,2004-01-31,-0.00231287040796653,0.00074958151876893,-0.00081568062959183,0.00089331549866650,-0.00135614675487089,-0.00354248911654147
2004-02-01,2004-02-29,-0.00240531405303964,0.00074959400503218,-0.00080862310524482,0.00088395563905099,-0.00121204512816473,-0.00364417201364469
2004-03-01,2004-03-31,-0.00254027256388370,0.00072598988434477,-0.00079187687477999,0.00088395563905099,-0.00100413310527157,-0.00357988047013798
2004-04-01,2004-04-30,-0.00255275058072715,0.00073293635896734,-0.00077087731420024,0.00087458827046353,-0.00089877921881319,-0.00355916996070488
2004-05-01,2004-05-31,-0.00263784660345383,0.00073432166706411,-0.00079531266176995,0.00088499727262406,-0.00080171833480698,-0.00363795043201492
2004-06-01,2004-06-30,-0.00278724533283488,0.00077040804201948,-0.00078270952553700,0.00090476967603821,-0.00079754221790448,-0.00355284445151174
2004-07-01,2004-07-31,-0.00269434812625453,0.00080184549661946,-0.00059280159973528,0.00110144093753777,-0.00058701158822883,-0.00335409918752984
