Data,FI,EQ
2008-06-09,104.95,86.14
2008-06-10,104.95,86.14
2008-06-11,104.95,86.14
2008-06-12,104.09,85.21
2008-06-13,103.99,85.32
2008-06-16,103.91,85.22
2008-06-17,103.99,85.35
2008-06-18,104.11,85.1
2008-06-19,103.95,85.24
2008-06-20,103.95,85.24
2008-06-23,103.95,85.24
2008-06-24,103.95,85.24
2008-06-25,104.1,85.24
2008-06-26,104.32,85.24
2008-06-27,104.4,85.24
2008-06-30,104.4,85.24
2008-07-01,104.21,85.24
2008-07-02,104.1,85.24
2008-07-03,104.32,85.24
2008-07-04,104.57,85.24
2008-07-07,104.69,85.24
2008-07-08,104.69,85.24
2008-07-09,104.71,82.99
2008-07-10,104.8,82.51
2008-07-11,104.75,81.71
2008-07-14,104.75,81.71
2008-07-15,104.94,80.98
2008-07-16,104.91,81.11
2008-07-17,104.84,81.84
2008-07-18,104.56,82.31
2008-07-21,104.4,82.95
2008-07-22,104.46,83.31
2008-07-23,104.46,83.31
2008-07-24,104.72,84.01
2008-07-25,104.73,83.91
2008-07-28,104.9,83.51
2008-07-29,105.01,83.71
2008-07-30,105.12,84.03
2008-07-31,105.22,84.3
2008-08-01,105.27,83.82
2008-08-04,105.34,83.52
2008-08-05,105.34,83.52
2008-08-06,105.41,84.56
2008-08-07,105.41,84.75
2008-08-08,105.85,85.18
2008-08-11,105.8,85.48
2008-08-12,105.8,85.48
2008-08-13,106,85.1
2008-08-14,106,85.1
2008-08-15,106,85.1
2008-08-18,106.15,85.12
2008-08-19,106.17,84.5
2008-08-20,106.17,84.5
2008-08-21,106,84.01
2008-08-22,105.83,84.4
2008-08-25,105.83,84.4
2008-08-26,106.12,84.29
2008-08-27,105.97,84.21
2008-08-28,105.86,84.57
2008-08-29,105.93,84.89
2008-09-01,106.11,84.73
2008-09-02,106.09,85.08
2008-09-03,106.12,84.73
2008-09-04,106.23,84.17
2008-09-05,106.41,83.34
2008-09-08,106.33,84.61
2008-09-09,106.37,84.88
2008-09-10,106.36,84.75
2008-09-11,106.27,84.48
2008-09-12,106.14,85.11
2008-09-15,106.23,83.46
2008-09-16,106.21,82.39
2008-09-17,105.97,81.7
2008-09-18,105.78,81.06
2008-09-19,105.56,83.93
2008-09-22,105.56,83.93
2008-09-23,105.56,83.93
2008-09-24,105.76,82.12
2008-09-25,105.68,82.62
2008-09-26,105.81,81.85
2008-09-29,105.98,79.77
2008-09-30,105.73,80.46
2008-10-01,105.6,80.54
2008-10-02,105.59,80.54
2008-10-03,105.65,80.85
2008-10-06,105.79,78.41
2008-10-07,105.25,77.7
2008-10-08,105.25,77.7
2008-10-09,105.54,73.4
2008-10-10,105.5,70.33
2008-10-13,104.83,73.95
2008-10-14,104.84,75.9
2008-10-15,104.84,75.9
2008-10-16,105.15,71.87
2008-10-17,105.15,71.87
2008-10-20,105.95,74.67
2008-10-21,105.53,74.49
2008-10-22,105.68,72.58
2008-10-23,105.69,71.92
2008-10-24,106.3,70.07
2008-10-27,106.36,68.36
2008-10-28,106.41,68.54
2008-10-29,106.11,71.12
2008-10-30,106.13,71.83
2008-10-31,106.92,73.23
2008-11-03,106.96,73.84
2008-11-04,106.97,75.31
2008-11-05,107.04,74.68
2008-11-06,107.23,72.94
2008-11-07,107.32,73.17
2008-11-10,107.4,73.62
2008-11-11,107.48,71.96
2008-11-12,107.1,70.93
2008-11-13,107.58,70.77
2008-11-14,107.58,71.32
2008-11-17,107.59,70.69
2008-11-18,107.62,70.66
2008-11-19,107.65,69.64
2008-11-20,107.43,68.08
2008-11-21,107.41,67.69
2008-11-24,107.36,69.72
2008-11-25,107.38,70.25
2008-11-26,107.77,70.32
2008-11-27,107.61,71.13
2008-11-28,107.68,72.15
2008-12-01,107.82,70.02
2008-12-02,107.9,70.15
2008-12-03,107.99,70.73
2008-12-04,107.86,70.84
2008-12-05,107.94,70.28
2008-12-08,107.74,72.13
2008-12-09,107.66,72.12
2008-12-10,107.77,72.36
2008-12-11,107.87,72.49
2008-12-12,107.81,71.57
2008-12-15,107.95,71.13
2008-12-16,108.01,71.23
2008-12-17,108.33,70.36
2008-12-18,108.4,70.04
2008-12-19,108.63,70.34
2008-12-22,108.68,69.65
2008-12-23,108.68,69.65
2008-12-24,108.68,69.65
2008-12-25,108.68,69.65
2008-12-26,108.68,69.65
2008-12-29,108.83,68.79
2008-12-30,108.78,69.58
2008-12-31,108.8,69.64
2009-01-01,108.8,69.64
2009-01-02,108.88,70.43
2009-01-05,108.99,72.34
2009-01-06,108.94,72.89
2009-01-07,109.1,72.17
2009-01-08,109.33,71.73
2009-01-09,109.64,71.53
2009-01-12,109.69,70.77
2009-01-13,109.81,70.05
2009-01-14,109.81,68.37
2009-01-15,109.81,67.93
2009-01-16,109.87,68.38
2009-01-19,109.82,68.08
2009-01-20,109.9,67.13
2009-01-21,109.98,67.08
2009-01-22,109.98,67.16
2009-01-23,109.96,67.16
2009-01-26,109.85,67.99
2009-01-27,109.66,67.93
2009-01-28,109.88,69.06
2009-01-29,109.97,68.07
2009-01-30,109.97,67.9
2009-02-02,109.72,67.2
2009-02-03,109.73,67.43
2009-02-04,110,68.09
2009-02-05,110.05,67.36
2009-02-06,110.02,67.88
2009-02-09,110.1,68.03
2009-02-10,110.05,67.49
2009-02-11,110.22,67.43
2009-02-12,110.35,66.96
2009-02-13,110.42,67.09
2009-02-16,110.51,66.35
2009-02-17,110.64,64.95
2009-02-18,110.51,64.98
2009-02-19,110.4,65.23
2009-02-20,110.4,63.67
2009-02-23,110.4,63.67
2009-02-24,110.49,62.56
2009-02-25,110.53,62.32
2009-02-26,110.45,63.02
2009-02-27,110.53,62.28
2009-03-02,110.62,60.12
2009-03-03,110.69,59.56
2009-03-04,110.53,60.77
2009-03-05,110.55,59.38
2009-03-06,110.59,57.97
2009-03-09,110.53,58
